Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1226,PARTIAL HEAD HIGHLIGHT,MEN,1,0,1800,1800,,,Nos,GST18,INCLUSIVE,,service,MENS FASHION,,,,,,,
1227,FULL HEAD  HIGHLIGHTS,MEN,1,0,3000,3000,,,Nos,GST18,INCLUSIVE,,service,MENS FASHION,,,,,,,
1228,HAIR SPA,MEN,1,0,1000,1000,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1229,Anti-Dandruff Treatment,MEN,1,0,1500,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1230,Anti-Hairfall Treatment,MEN,1,0,1500,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1231,SHAMPOO & CONDITIONING-S,WOMEN,1,0,350,350,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1232,SHAMPOO & CONDITIONING-M,WOMEN,1,0,400,400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1233,SHAMPOO & CONDITIONING-L,WOMEN,1,0,450,450,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1234,HAIR WASH&STYLING - S,WOMEN,1,0,600,600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1235,HAIR WASH&STYLING-M,WOMEN,1,0,700,700,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1236,HAIR WASH&STYLING-L,WOMEN,1,0,800,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1237,HEAD OIL MASSAGE  - S,WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1238,HEAD OIL MASSAGE-M,WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1239,HEAD OIL MASSAGE-L,WOMEN,1,0,750,750,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1240,VOLUME BLOW DRY-M,WOMEN,1,0,800,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1241,VOLUME BLOW DRY-L,WOMEN,1,0,900,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1242,TONGS-M,WOMEN,1,0,1100,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1243,TONGS-L,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1244,FLAT IRONING - S,WOMEN,1,0,900,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1245,FLAT IRONING-M,WOMEN,1,0,1100,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1246,FLAT IRONING-L,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1247,GLOBAL COLOURING-AMMONIA - S,WOMEN,1,0,2500,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1248,GLOBAL COLOURING-AMMONIA-M,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1249,GLOBAL COLOURING-AMMONIA-L,WOMEN,1,0,4500,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
