Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,Track Quantity,Type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F1135,Full arms,WOMEN,1,0,455,545,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1136,Half leg,WOMEN,1,0,535,650,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1137,Full leg,WOMEN,1,0,645,780,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1138,Under arms,WOMEN,1,0,160,200,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1139,Upper lip/Fore head/Chin,WOMEN,1,0,100,125,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1140,Face-Sides,WOMEN,1,0,140,165,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1141,Full Face,WOMEN,1,0,385,470,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1142,Lower back/Upper Back/Midriff,WOMEN,1,0,675,805,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1143,Full body,WOMEN,1,0,3320,3985,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1144,Bikni Line,WOMEN,1,0,400,450,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1145,Full Bikni,WOMEN,1,0,1700,1850,0,999721,Nos,GST18,inclusive,0,service,FLAVOURED WAXING(FEMALE),,,,,,,
F1146,"Cut ,File ",WOMEN,1,0,150,180,0,999722,Nos,GST18,inclusive,0,service,PEDICURES(FEMALE),,,,,,,
F1147,Regular Pedicure ,WOMEN,1,0,490,575,0,999722,Nos,GST18,inclusive,0,service,PEDICURES(FEMALE),,,,,,,
F1148,Paraffin Pedicure,WOMEN,1,0,600,715,0,999722,Nos,GST18,inclusive,0,service,PEDICURES(FEMALE),,,,,,,
F1149,Chocolate Foot Spa(Rose.aloevera.strawberry),WOMEN,1,0,775,915,0,999722,Nos,GST18,inclusive,0,service,SPA PEDICURES(FEMALE),,,,,,,
F1150,Crystal Crush Pedicure (Rose.aloevera.strawberry),WOMEN,1,0,830,975,0,999722,Nos,GST18,inclusive,0,service,SPA PEDICURES(FEMALE),,,,,,,
F1151,Ice Cream Signature Pedicure ,WOMEN,1,0,950,1145,0,999722,Nos,GST18,inclusive,0,service,PREMIUM PEDICURE (FEMALE),,,,,,,
F1152,Heel-Peel Treatment,WOMEN,1,0,2550,2995,0,999721,Nos,GST18,inclusive,0,service,TREATMENT(FEMALE),,,,,,,
F1153,Regular Manicure,WOMEN,1,0,360,400,0,999722,Nos,GST18,inclusive,0,service,MANICURES(FEMALE),,,,,,,
F1154,Paraffin Manicure,WOMEN,1,0,430,470,0,999722,Nos,GST18,inclusive,0,service,MANICURES(FEMALE),,,,,,,
F1155,"Crystal Crush Manicure (Rose,Aloe Vera, Chocolate & Strawberry)",WOMEN,1,0,800,950,0,999722,Nos,GST18,inclusive,0,service,SPA MANICURES(FEMALE),,,,,,,
F1156,Ice Cream Signature Manicure,WOMEN,1,0,900,1045,0,999722,Nos,GST18,inclusive,0,service,PREMIUM MANICURE(FEMALE),,,,,,,
M1001,Hair Cut,MEN,1,0,210,250,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1002,Shave,MEN,1,0,100,120,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1003,Advance - Hair cut,MEN,1,0,300,350,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1004,Beard Trim,MEN,1,0,100,120,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1005,Beard Styling,MEN,1,0,140,160,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1006,Hair Wash,MEN,1,0,100,120,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1007,Head Shave,MEN,1,0,250,300,0,999721,Nos,GST18,inclusive,0,service,HAIR CUTS & STYLING(MEN),,,,,,,
M1008,Trendy Kid Hair cut (below 10 years ),KIDS,1,0,180,200,0,999721,Nos,GST18,inclusive,0,service,KIDS(MEN),,,,,,,
M1009,Moustache colouring,MEN,1,0,130,150,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING(MEN),,,,,,,
M1010,Beard colouring ,MEN,1,0,300,350,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING(MEN),,,,,,,
M1011,Global  hair colouring,MEN,1,0,850,950,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING(MEN),,,,,,,
M1012,Moustache colouring,MEN,1,0,150,180,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING-AMMONIA FREE(MEN),,,,,,,
M1013,Beard colouring ,MEN,1,0,400,450,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING-AMMONIA FREE(MEN),,,,,,,
