Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1240,VOLUME BLOW DRY-M,WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1241,VOLUME BLOW DRY-L,WOMEN,1,0,,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1242,TONGS-M,WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1243,TONGS-L,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1244,FLAT IRONING - S,WOMEN,1,0,,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1245,FLAT IRONING-M,WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1246,FLAT IRONING-L,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1247,GLOBAL COLOURING-AMMONIA - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1248,GLOBAL COLOURING-AMMONIA-M,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1249,GLOBAL COLOURING-AMMONIA-L,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1250,GLOBAL COLOURING-NON AMMONIA - S,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1251,GLOBAL COLOURING-NON AMMONIA-M,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1252,GLOBAL COLOURING-NON AMMONIA-L,WOMEN,1,0,,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1253,FASHION - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1254,FASHION-M,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1255,FASHION-L,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1256,PARTIAL HEAD HIGHLIGHT - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1257,PARTIAL HEAD HIGHLIGHT-M,WOMEN,1,0,,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1258,PARTIAL HEAD HIGHLIGHT-L,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1259,FULL HEAD  HIGHLIGHTS - S,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1260,FULL HEAD  HIGHLIGHTS-M,WOMEN,1,0,,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1261,FULL HEAD  HIGHLIGHTS-L,WOMEN,1,0,,6500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1262,CREATIVE COLOUR,WOMEN,1,0,,0,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1263,HAIR SPA - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1264,HAIR SPA-M,WOMEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
